aa	ɑː
abbreviaatio	ɑbːre̞ʋiɑːt̪io̞
aberraatio	ɑbe̞rrɑːt̪io̞
abessiivi	ɑbe̞s̠s̠iːʋi
abi	ɑbi
ablatiivi	ɑblɑt̪iːʋi
ablaut	ɑblɑu̯t̪
abortti	ɑbo̞rt̪ːi
absintti	ɑbs̠in̪t̪ːi
absorboida	ɑbs̠o̞rbo̞i̯dɑʔ
absorboiminen	ɑbs̠o̞rbo̞i̯mine̞n
absorboitua	ɑbs̠o̞rbo̞i̯t̪uɑʔ
absorboituminen	ɑbs̠o̞rbo̞i̯t̪umine̞n
absorptio	ɑbs̠o̞rpt̪io̞
absorptiokyky	ɑbs̠o̞rpt̪io̞kyky
absorptioviiva	ɑbs̠o̞rpt̪io̞ʋiːʋɑ
abstrahoiminen	ɑbs̠t̪rɑho̞i̯mine̞n
abstrahoituminen	ɑbs̠t̪rɑho̞i̯t̪umine̞n
abstraktio	ɑbstrɑkt̪io̞
abstraktistuminen	ɑbs̠t̪rɑkt̪is̠t̪umine̞n
abstraktoida	ɑbs̠t̪rɑkt̪o̞i̯dɑʔ
adamantiini	ɑdɑmɑn̪t̪iːni
adamiitti	ɑdɑmiːt̪ːi
adapteri	ɑdɑpteri
adapterit	ɑdɑpt̪e̞rit̪
adaptoitua	ɑdɑpt̪o̞i̯t̪uɑʔ
adaptoitua	ɑdɑpt̪o̞i̯t̪uɑ
addiktio	ɑdːikt̪io
additioreaktio	ɑdːit̪io̞re̞ɑkt̪io̞
addressi	ɑdːre̞s̠ːi
adessiivi	ɑde̞s̠s̠iːʋi
adiabaatti	ɑdiɑbɑːt̪ːi
adjektiivi	ɑdjektiːʋi
adjungaatti	ɑdjunɡɑːt̪ːi
adoptio	ɑdoptio
adoptointi	ɑdo̞pt̪o̞in̪t̪i
adpositio	ɑdpositio
adrenaliini	ɑdre̞nɑliːni
adressi	ɑdresːi
adsorboituminen	ɑds̠o̞rbo̞i̯t̪umine̞n
adventti	ɑdʋe̞n̪t̪ːi
adventtikalenteri	ɑdʋe̞n̪t̪ːikɑle̞nt̪e̞ri
adverbi	ɑdʋe̞rbi
adverbilauseke	ɑdʋe̞rbilɑu̯s̠e̞ke̞ʔ
aerologia	ɑe̞ro̞lo̞ɡiɑ
aerometri	ɑe̞ro̞me̞t̪ri
aerometria	ɑe̞ro̞me̞t̪riɑ
aeronomi	ɑe̞ro̞no̞mi
aeronomia	ɑe̞ro̞no̞miɑ
aerosoli	ɑerosoli
affiliaatio	ɑfːiliɑːt̪io̞
afgaani	ɑfɡɑːni
afrikkalainen	ɑfrikːɑlɑinen
agalmatoliitti	ɑɡɑlmɑt̪o̞liːt̪ːi
agentti	ɑɡen̪t̪ːi
aggregaatio	ɑɡːre̞ɡɑːt̪io̞
agility	ɑɡilit̪y
agnostikko	ɑɡno̞s̠t̪ikːo̞
agnostinen	ɑɡno̞s̠t̪ine̞n
agnostisismi	ɑɡno̞s̠t̪is̠is̠mi
agnostisuus	ɑɡno̞s̠t̪is̠uːs̠
agogiikka	ɑɡo̞ɡiːkːɑ
agogo	ɑɡo̞ɡo̞
agonaalinen	ɑɡo̞nɑːline̞n
agonia	ɑɡoniɑ
agonisti	ɑɡo̞nis̠t̪i
agorafobia	ɑɡo̞rɑfo̞biɑ
ah	ɑh
aha	ɑɦɑʔ
ahaa	ɑɦɑː
ahavoittaa	ɑɦɑvoitːɑːʔ
ahavoitua	ɑɦɑvoituɑʔ
ahavoituminen	ɑɦɑʋo̞i̯t̪umine̞n
ahdata	ɑɦdɑt̪ɑˣ
ahdistaa	ɑhdistɑːʔ
ahdistelu	ɑɦdistelu
ahdistuminen	ɑxdis̠t̪umine̞n
ahjo	ɑxjo̞
ahjohiili	ɑxjo̞hiːli
ahkera	ɑxke̞rɑ
ahmia	ɑɦmiɑˣ
ahnasta	ɑɦnɑstɑ
ahne	ɑxne̞ʔ
ahneus	ɑxne̞u̯s̠
aho	ɑɦo̞
aholainen	ɑɦo̞lɑi̯ne̞n
ahosuolaheinä	ɑɦo̞s̠uo̞̯lɑhe̞i̯næ
ahtaa	ɑxtɑːʔ
ahtaanpaikankammo	ɑxt̪ɑːnpɑi̯kɑnkɑmːo̞
ahtauttaa	ɑhtɑutːɑːʔ
ahtautua	ɑxt̪ɑut̪uɑˣ
ahtautuminen	ɑxt̪ɑu̯t̪umine̞n
ahtera	ɑxt̪e̞rɑ
ahti	ɑxt̪i
ahto	ɑxt̪o̞
ahtoutuminen	ɑxt̪o̞u̯t̪umine̞n
ahven	ɑxʋe̞n
ahvenanmaa	ɑxʋe̞nɑnmɑː
ahvenanmeri	ɑxʋe̞nɑnme̞ri
ahvenmuhennos	ɑxʋe̞nmuɦe̞nːo̞s̠
ahvo	ɑxʋo
ai	ɑi̯
aidanteko	ɑi̯dɑnt̪e̞ko̞
aids	ɑi̯ds̠
aie	ɑi̯e̞ʔ
aihe	ɑi̯ɦe̞ʔ
aiheellistuminen	ɑi̯ɦe̞ːllis̠t̪umine̞n
aihekokonaisuus	ɑi̯ɦe̞kko̞ko̞nɑi̯s̠uːs̠
aihetodiste	ɑiɦetodiste
aiheutua	ɑiɦeutuɑʔ
aiheutuminen	ɑi̯ɦe̞u̯t̪umine̞n
aihio	ɑi̯ɦio̞
aija	ɑijːɑ
aijai	ɑijːɑi
aika	ɑi̯kɑ
aikaansaada	ɑi̯kɑːns̠ɑːdɑʔ
aikaansaaminen	ɑi̯kɑːns̠ɑːmine̞n
aikaansaavuus	ɑi̯kɑːns̠ɑːʋuːs̠
aikaerotteinen	ɑi̯kɑe̞ro̞t̪t̪e̞i̯ne̞n
aikaikkuna	ɑi̯kɑikːunɑ
aikainen	ɑi̯kɑi̯ne̞n
aikaistuminen	ɑi̯kɑi̯s̠t̪umine̞n
aikajakso	ɑi̯kɑjɑks̠o̞
aikakatkaista	ɑi̯kɑkɑt̪kɑi̯s̠t̪ɑʔ
aikakatkaisu	ɑi̯kɑkɑt̪kɑi̯s̠u
aikakauslehtipaperi	ɑi̯kɑkɑu̯s̠le̞ht̪ipɑpe̞ri
aikakoodi	ɑi̯kɑko̞ːdi
aikalaskelma	ɑi̯kɑlɑs̠ke̞lmɑ
aikamatkaaja	ɑi̯kɑmɑt̪kɑːjɑ
aikamoinen	ɑikɑmoinen
aikana	ɑikɑnɑ
aikaohjaus	ɑi̯kɑo̞xjɑu̯s̠
aikapallo	ɑi̯kɑpɑlːo̞
aikaraja	ɑi̯kɑrɑjɑ
aikasakko	ɑi̯kɑs̠ɑkːo̞
aikatauluttaa	ɑikɑtɑulutːɑːʔ
aikatyö	ɑi̯kɑt̪yø̞̯
aikido	ɑi̯kido̞
aikoa	ɑi̯ko̞ɑʔ
aikominen	ɑi̯ko̞mine̞n
aikuistua	ɑikuistuɑˣ
aikuistuminen	ɑi̯kui̯s̠t̪umine̞n
aila	ɑilɑ
ailahdella	ɑi̯lɑhde̞lːɑʔ
ailahtaa	ɑilɑxt̪ɑːˣ
aili	ɑili
ailurofobia	ɑi̯luro̞fo̞biɑ
aimo	ɑimo̞
aimo	ɑimo
aina	ɑinɑ
aina	ɑinɑ
aine	ɑi̯ne̞ʔ
aineellistuminen	ɑi̯ne̞ːllis̠t̪umine̞n
aineenvaihdunta	ɑi̯ne̞ːnʋɑi̯çdun̪t̪ɑ
aineet	ɑine̞ːt̪
aineistotietokanta	ɑi̯ne̞i̯s̠t̪o̞t̪ie̞̯t̪o̞kɑn̪t̪ɑ
aineistuminen	ɑi̯ne̞i̯s̠t̪umine̞n
ainemäärä	ɑine̞mːæːræ
aineoppi	ɑi̯ne̞ʔo̞pːi
aineryhmä	ɑi̯ne̞rryçmæ
aini	ɑini
aino	ɑino
ainoa	ɑi̯no̞ɑ
ainokainen	ɑino̞kɑine̞n
ainuntaa	ɑi̯nun̪t̪ɑːʔ
ainut	ɑinut̪
aio	ɑijo̞
aioli	ɑi̯o̞li
aiolinen	ɑi̯o̞line̞n
aira	ɑi̯rɑ
airi	ɑi̯ri
airo	ɑi̯ro̞
airut	ɑi̯rut̪
ais	ɑi̯s̠
aisa	ɑisɑ
aisakeinu	ɑi̯s̠ɑke̞i̯nu
aisankannatin	ɑi̯s̠ɑnkɑnːɑt̪in
aistia	ɑistiɑˣ
aistikas	ɑistikɑs
aita	ɑit̪ɑ
aitaa	ɑitɑː
aitaa	ɑitɑː
aitaa	ɑitɑːʔ
aitaaminen	ɑi̯t̪ɑːmine̞n
aitio	ɑitio
aito	ɑi̯t̪o̞
aitominen	ɑi̯t̪o̞mine̞n
aitovirna	ɑi̯t̪o̞ʋirnɑ
aitta	ɑit̪ːɑ
aivan	ɑi̯ʋɑn
aivojumppa	ɑi̯ʋo̞jumpːɑ
aivokalvontulehdus	ɑi̯ʋo̞kɑlʋo̞nt̪ule̞hdus̠
aivokuolema	ɑi̯ʋo̞kuo̞̯le̞mɑ
aivolymfooma	ɑi̯ʋo̞lymfo̞ːmɑ
aivopestä	ɑi̯ʋo̞pe̞s̠t̪æʔ
aivot	ɑi̯ʋo̞t̪
aivotyrä	ɑi̯ʋo̞t̪yræ
aivotärähdys	ɑi̯ʋo̞t̪æræhdys̠
aivoverenkiertohäiriö	ɑiʋoʋerenkiertohæiriø
aja	ɑjɑ
ajaa	ɑjɑːʔ
ajaantuminen	ɑjɑːn̪t̪umine̞n
ajaminen	ɑjɑmine̞n
ajanhetki	ɑjɑnhe̞t̪ki
ajankohtaistuminen	ɑjɑnko̞xt̪ɑi̯s̠t̪umine̞n
ajanlasku	ɑjɑnlɑs̠ku
ajanmukaistuminen	ɑjɑnmukɑi̯s̠t̪umine̞n
ajanviete	ɑjɑnʋie̞t̪e̞ˣ
ajanvietematematiikka	ɑjɑnʋie̞̯t̪e̞mmɑt̪e̞mɑt̪iːkːɑ
ajatella	ɑjɑt̪e̞lːɑʔ
ajatuksekas	ɑjɑt̪ukse̞kas
ajautuminen	ɑjɑu̯t̪umine̞n
ajella	ɑje̞lːɑˣ
ajettuminen	ɑje̞t̪ːumine̞n
ajo	ɑjo̞
ajoaikainen	ɑjo̞ɑi̯kɑi̯ne̞n
ajoeste	ɑjo̞e̞s̠t̪e̞ʔ
ajoittaa	ɑjoitːɑːʔ
ajoittaminen	ɑjo̞i̯t̪ːɑmine̞n
ajoittuminen	ɑjo̞i̯t̪ːumine̞n
ajokaluseppä	ɑjo̞kɑlus̠e̞pːæ
ajokeppi	ɑjo̞ke̞pːi
ajokoirat	ɑjo̞ko̞i̯rɑt̪
ajokone	ɑjo̞ko̞ne̞ʔ
ajomies	ɑjo̞mie̞̯s̠
ajonaikainen	ɑjo̞nɑi̯kɑi̯ne̞n
ajorata	ɑjo̞rɑt̪ɑ
ajoreki	ɑjo̞re̞ki
ajosuorite	ɑjo̞s̠uo̞̯rit̪e̞ʔ
akaa	ɑkɑː
akaalainen	ɑkɑːlɑi̯ne̞n
akaasia	ɑkɑːs̠iɑ
akana	ɑkɑnɑ
akasia	ɑkɑːs̠iɑ
aki	ɑki
akka	ɑkːɑ
akkadi	ɑkːɑdi
akkaihminen	ɑkːɑiçmine̞n
akkautua	ɑkːɑu̯t̪uɑʔ
akkautuminen	ɑkːɑu̯t̪umine̞n
akklimatisoituminen	ɑkːlimɑt̪is̠o̞i̯t̪umine̞n
akkujännite	ɑkːujænːit̪e̞ʔ
akkukenno	ɑkːuke̞nːo̞
akkukone	ɑkːuko̞ne̞ʔ
akkukonesetti	ɑkːuko̞ne̞s̠e̞t̪ːi
akkuna	ɑkːunɑ
akkuvesi	ɑkːuʋe̞s̠i
akkuvirta	ɑkːuʋirt̪ɑ
akne	ɑkne
akoittuminen	ɑko̞i̯t̪ːumine̞n
akromatopsia	ɑkro̞mɑt̪o̞ps̠iɑ
akryyli	ɑkryːli
akryylikynsi	ɑkryːlikyns̠i
akseli	ɑkseli
akselikiila	ɑks̠e̞likiːlɑ
akselitaso	ɑks̠e̞lit̪ɑs̠o̞
akselivarmistin	ɑks̠e̞liʋɑrmis̠t̪in
aksidenssi	ɑks̠ide̞ns̠ːi
aksioomajärjestelmä	ɑks̠io̞ːmɑjærje̞s̠t̪e̞lmæ
aksis	ɑks̠is̠
aksoni	ɑkso̞ni
aksonometria	ɑks̠o̞no̞me̞t̪riɑ
aksonometrinen	ɑks̠o̞no̞me̞t̪rine̞n
aktiini	ɑkt̪iːni
aktiivat	ɑkt̪iːʋɑt̪
aktiivi	ɑktiːvi
aktiivihiilisuodatin	ɑkt̪iːʋihiːlis̠uo̞̯dɑt̪in
aktiivinen	ɑkt̪iːʋine̞n
aktiivistuminen	ɑkt̪iːʋis̠t̪umine̞n
aktiivisuuskerroin	ɑkt̪iːʋis̠uːs̠ke̞rːo̞i̯n
aktivaatio	ɑkt̪iʋɑːt̪io̞
aktivaatiotietue	ɑkt̪iʋɑːt̪io̞t̪ie̞̯t̪ue̞ʔ
aktivointienergia	ɑkt̪iʋo̞i̯n̪t̪ie̞ne̞rɡiɑ
aktivointitietue	ɑkt̪iʋo̞i̯n̪t̪it̪ie̞̯t̪ue̞ʔ
aktivoitua	ɑkt̪iʋo̞i̯t̪uɑʔ
aktivoituminen	ɑkt̪iʋo̞i̯t̪umine̞n
aktomyosiini	ɑkt̪o̞myo̞s̠iːni
aktuaalistuminen	ɑkt̪uɑːlis̠t̪umine̞n
aktualisoitua	ɑkt̪uɑlis̠o̞i̯t̪uɑʔ
aktualisoituminen	ɑkt̪uɑlis̠o̞i̯t̪umine̞n
aku	ɑku
akvarelli	ɑkʋɑre̞lːi
ala	ɑlɑ
ala	ɑlɑʔ
alabama	ɑlɑbɑmɑ
alabandiitti	ɑlɑbɑndiːt̪ːi
aladobi	ɑlɑdo̞ːbi
aladoopi	ɑlɑdo̞ːpi
alaikäinen	ɑlɑikæinen
alailmakehä	ɑlɑilmɑke̞ɦæ
alaindeksi	ɑlɑinde̞ks̠i
alajako	ɑlɑjɑko̞
alajaos	ɑlɑjɑo̞s̠
alajaosto	ɑlɑjɑo̞s̠t̪o̞
alajaotus	ɑlɑjɑo̞t̪us̠
alajärveläinen	ɑlɑjærʋe̞læi̯ne̞n
alajärvi	ɑlɑjærʋi
alakanava	ɑlɑkɑnɑʋɑ
alakansakoulu	ɑlɑkɑns̠ɑko̞u̯lu
alakantissa	ɑlɑkɑn̪t̪is̠ːɑ
alakanttiin	ɑlɑkɑn̪t̪ːiːn
alakenttä	ɑlɑke̞n̪t̪ːæ
alakilpi	ɑlɑkilpi
alakolmiomatriisi	ɑlɑko̞lmio̞mɑt̪riːs̠i
alakomitea	ɑlɑko̞mit̪e̞ɑ
alakonserni	ɑlɑko̞ns̠e̞rni
alakoski	ɑlɑko̞s̠ki
alakulminaatio	ɑlɑkulminɑːt̪io̞
alakuloisesti	ɑlɑkulo̞i̯s̠e̞s̠t̪iʔ
alakunto	ɑlɑkun̪t̪o̞
alakuori	ɑlɑkuo̞̯ri
alakvartiili	ɑlɑkʋɑrt̪iːli
alakynteen	ɑlɑkyn̪t̪e̞ːn
alalaita	ɑlɑlɑi̯t̪ɑ
alalause	ɑlɑlɑu̯s̠e̞ʔ
alalehti	ɑlɑle̞ht̪i
alaleukahermo	ɑlɑle̞u̯kɑhe̞rmo̞
alalinja	ɑlɑlinjɑ
alallaan	ɑlɑlːɑːn
alalleen	ɑlɑlːe̞ːn
alamaisesti	ɑlɑmɑi̯s̠e̞s̠t̪iʔ
alamasto	ɑlɑmɑs̠t̪o̞
alamuoto	ɑlɑmuo̞̯t̪o̞
alamäki	ɑlɑmæki
alanko	ɑlɑŋko
alankomaat	ɑlɑŋko̞mɑːt̪
alanuoli	ɑlɑnuo̞̯li
alanvaihto	ɑlɑnʋɑi̯çt̪o̞
alanvalinta	ɑlɑnʋɑlin̪t̪ɑ
alanyyli	ɑlɑnyːli
alaosasto	ɑlɑo̞s̠ɑs̠t̪o̞
alaote	ɑlɑo̞t̪e̞ʔ
alaotsake	ɑlɑo̞ts̠ɑke̞ʔ
alapaarre	ɑlɑpɑːrːe̞ʔ
alapaula	ɑlɑpɑu̯lɑ
alaperä	ɑlɑpe̞ræ
alapesu	ɑlɑpe̞s̠u
alapidennys	ɑlɑpide̞nːys̠
alapilvi	ɑlɑpilʋi
alapinta	ɑlɑpin̪t̪ɑ
alapohja	ɑlɑpo̞xjɑ
alaportti	ɑlɑpo̞rt̪ːi
alaputki	ɑlɑput̪ki
alaraajahalvaantunut	ɑlɑrɑːjɑhɑlʋɑːnt̪unut̪
alareuna	ɑlɑre̞u̯nɑ
alarik	ɑlɑrik
alaryhmä	ɑlɑryçmæ
alas	ɑlɑs̠
alasampuminen	ɑlɑs̠ɑmpumine̞n
alasiipi	ɑlɑs̠iːpi
alasin	ɑlɑs̠in
alaska	ɑlɑs̠kɑ
alassuin	ɑlɑs̠s̠ui̯n
alaston	ɑlɑsto̞n
alastonmalli	ɑlɑs̠t̪o̞nmɑlːi
alastulo	ɑlɑst̪ulo̞
alasumma	ɑlɑs̠umːɑ
alasuunta	ɑlɑs̠uːn̪t̪ɑ
alasuurennos	ɑlɑs̠uːre̞nːo̞s̠
alasvetovastus	ɑlɑs̠ʋe̞t̪o̞ʋɑs̠t̪us̠
alasävel	ɑlɑs̠æʋe̞l
alataso	ɑlɑt̪ɑs̠o̞
alatasokone	ɑlɑt̪ɑs̠o̞ko̞ne̞ʔ
alati	ɑlɑt̪i
alatie	ɑlɑt̪ie̞̯
alatiili	ɑlɑt̪iːli
alatoimikunta	ɑlɑt̪o̞i̯mikun̪t̪ɑ
alatoopi	ɑlɑt̪o̞ːpi
alatuuleen	ɑlɑt̪uːle̞ːn
alatuulessa	ɑlɑt̪uːle̞s̠ːɑ
alaurakka	ɑlɑurɑkːɑ
alavalssi	ɑlɑʋɑls̠ːi
alavatsa	ɑlɑʋɑts̠ɑ
alavesi	ɑlɑʋe̞s̠i
alavieska	ɑlɑʋie̞̯s̠kɑ
alavieskalainen	ɑlɑʋie̞̯s̠kɑlɑi̯ne̞n
alaviitta	ɑlɑʋiːt̪ːɑ
alavireinen	ɑlɑʋire̞i̯ne̞n
alavus	ɑlɑʋus̠
alavutelainen	ɑlɑʋut̪e̞lɑi̯ne̞n
alavälittäjä	ɑlɑʋælit̪t̪æjæ
alayhdistys	ɑlɑyçdis̠t̪ys̠
alayhteisö	ɑlɑyçt̪e̞i̯s̠ø̞
alayhtiö	ɑlɑyçt̪iø̞
alaääni	ɑlɑæːni
albania	ɑlbɑniɑ
albedo	ɑlbe̞do̞
albert	ɑlbe̞rt̪
alberta	ɑlbe̞rt̪ɑ
aldolaasi	ɑldo̞lɑːs̠i
ale	ɑle̞
ale	e̞i̯l
ale	ɑle̞
aleatorinen	ɑle̞ɑt̪o̞rine̞n
alehinta	ɑle̞hin̪t̪ɑ
aleksandra	ɑleksɑndrɑ
aleksandriini	ɑle̞ks̠ɑndriːni
aleksanteri	ɑle̞ks̠ɑn̪t̪e̞ri
aleksanterinleivos	ɑle̞ks̠ɑn̪t̪e̞rinle̞i̯ʋo̞s̠
aleksi	ɑle̞ks̠i
aleksis	ɑleksis
alemmas	ɑle̞mːɑs̠
aleneminen	ɑle̞ne̞mine̞n
alennusmerkki	ɑle̞nːus̠me̞rkːi
alentaa	ɑle̞n̪t̪ɑːʔ
alentaminen	ɑle̞n̪t̪ɑmine̞n
aleta	ɑle̞t̪ɑʔ
alex	ɑle̞ks̠
alfa	ɑlfɑ
alfalinoleenihappo	ɑlfɑlino̞le̞ːnihɑpːo̞
alfasalpaaja	ɑlfɑs̠ɑlpɑːjɑ
alfatokoferoli	ɑlfɑt̪o̞ko̞fe̞ro̞li
algeria	ɑlɡe̞riɑ
alhainen	ɑlxɑine̞n
alhaiso	ɑlhɑi̯s̠o̞
ali	ɑli
ali	ɑli
alias	ɑliɑs̠
alideterminantti	ɑlide̞t̪e̞rminɑn̪t̪ːi
alidifferentiaali	ɑlidifːe̞re̞n̪t̪iɑːli
aligradientti	ɑliɡrɑdie̞̯n̪t̪ːi
alihankinta	ɑlihɑŋkin̪t̪ɑ
aliina	ɑliːnɑ
aliisa	ɑliːs̠ɑ
alijako	ɑlijɑko̞
alikanta	ɑlikɑn̪t̪ɑ
alikohta	ɑliko̞xt̪ɑ
alikulku	ɑlikulku
alikulkukorkeus	ɑlikulkuko̞rke̞u̯s̠
alikunta	ɑlikun̪t̪ɑ
alikuori	ɑlikuo̞̯ri
aliluku	ɑliluku
alimerkintä	ɑlime̞rkin̪t̪æ
alimmas	ɑlimːɑs̠
alimonoidi	ɑlimo̞no̞i̯di
alin	ɑlin
alina	ɑlinɑ
aliohjelma	ɑlio̞xje̞lmɑ
aliorganisaatio	ɑlio̞rɡɑnis̠ɑːt̪io̞
alipaineputki	ɑlipɑi̯ne̞pput̪ki
alipäästösuodatin	ɑlipæːs̠t̪ø̞s̠uo̞̯dɑt̪in
alirahdinkuljettaja	ɑlirɑxdinkulje̞t̪t̪ɑjɑ
alirengas	ɑlire̞ŋːɑs̠
alisa	ɑlisɑ
alistuminen	ɑlis̠t̪umine̞n
alitse	ɑlits̠e̞ʔ
alittuminen	ɑlit̪ːumine̞n
aliupseerikoulu	ɑliups̠e̞ːriko̞u̯lu
aliupseerinarvo	ɑliups̠e̞ːrinɑrʋo̞
alivalikko	ɑliʋɑlikːo̞
alivalottuminen	ɑliʋɑlo̞t̪ːumine̞n
aliverkkotunnus	ɑliʋe̞rkːo̞t̪unːus̠
alivuoto	ɑliʋuo̞̯t̪o̞
aljopuu	ɑljo̞puː
alkaa	ɑlkɑːʔ
alkalisuola	ɑlkɑlis̠uo̞̯lɑ
alkalisuus	ɑlkɑlis̠uːs̠
alkamisajankohta	ɑlkɑmis̠ɑjɑnko̞xt̪ɑ
alkamispäivämäärä	ɑlkɑmis̠pæi̯ʋæmæːræ
alkeisalgebra	ɑlke̞i̯s̠ɑlɡe̞brɑ
alkeismatriisi	ɑlke̞i̯s̠mɑt̪riːs̠i
alkeisopinnot	ɑlke̞i̯s̠o̞pinːo̞t̪
alkeisreaktio	ɑlke̞i̯s̠re̞ɑkt̪io̞
alkeistapaus	ɑlke̞i̯s̠t̪ɑpɑu̯s̠
alkeistiedot	ɑlke̞i̯s̠t̪ie̞̯do̞t̪
alkeisvarsikko	ɑlke̞i̯s̠ʋɑrs̠ikːo̞
alkemistinen	ɑlke̞mis̠t̪ine̞n
alko	ɑlko̞
alkoholisoituminen	ɑlko̞ɦo̞lis̠o̞i̯t̪umine̞n
alkolukko	ɑlko̞lukːo̞
alkuarvotehtävä	ɑlkuɑrʋo̞t̪e̞ht̪æʋæ
alkuehto	ɑlkue̞ht̪o̞
alkueliö	ɑlkue̞liø̞
alkujaan	ɑlkujɑːn
alkukantaisesti	ɑlkukɑn̪t̪ɑi̯s̠e̞s̠t̪iʔ
alkukunta	ɑlkukun̪t̪ɑ
alkukuukausi	ɑlkukuːkɑu̯s̠i
alkukäsittely	ɑlkukæs̠it̪t̪e̞ly
alkulataus	ɑlkulɑt̪ɑu̯s̠
alkulukukaksoset	ɑlkulukukɑks̠o̞s̠e̞t̪
alkumunasolu	ɑlkumunɑs̠o̞lu
